start,source,z,w1,dest,link,psize,w2,len_cloudlet,priority
170.9,db0,0,1,l_db0_app1,app1,200000000,1,10000,3
171.3,svc1,0,1,l_svc1_app1,app1,200000000,1,2000,3
171.7,web4,0,1,l_web4_app4,app4,200000000,1,5000,3
172.2,app1,0,1,l_app1_db2,db2,5000000,1,80000,2
172.8,app4,0,1,l_app4_db0,db0,100000000,1,20000,2
173.4,web1,0,1,l_web1_app1,app1,200000000,1,1000,3
173.7,app1,0,1,l_app1_web1,web1,150000000,1,1000,2
174.0,db1,0,1,l_db1_app2,app2,75000000,1,50000,3
174.3,web3,0,1,l_web3_app3,app3,10000000,1,500,1
174.8,app2,0,1,l_app2_svc2,svc2,20000000,1,10000,2
175.0,app4,0,1,l_app4_db4,db4,100000000,1,50000,3
175.3,app4,0,1,l_app4_web0,web0,10000000,1,200,3
175.7,svc2,0,1,l_svc2_app2,app2,100000000,1,10000,3
176.3,app4,0,1,l_app4_db4,db4,100000000,1,200,2
176.6,app4,0,1,l_app4_web4,web4,20000000,1,200,1
177.1,web3,0,1,l_web3_app4,app4,75000000,1,10000,3
177.3,app2,0,1,l_app2_web3,web3,20000000,1,50000,3
177.9,app3,0,1,l_app3_svc3,svc3,200000000,1,10000,1
178.4,app1,0,1,l_app1_db1,db1,50000000,1,500,2
178.7,db2,0,1,l_db2_app3,app3,100000000,1,5000,1
179.0,web4,0,1,l_web4_app0,app0,20000000,1,500,1
179.3,web2,0,1,l_web2_app3,app3,100000000,1,20000,3
179.6,app2,0,1,l_app2_db2,db2,75000000,1,200,3
180.1,db3,0,1,l_db3_app4,app4,150000000,1,50000,3
180.7,app4,0,1,l_app4_db0,db0,5000000,1,80000,3
180.9,app2,0,1,l_app2_db2,db2,10000000,1,20000,3
181.2,db2,0,1,l_db2_app3,app3,200000000,1,2000,3
181.8,db0,0,1,l_db0_app1,app1,10000000,1,20000,2
182.3,app1,0,1,l_app1_db2,db2,10000000,1,20000,3
182.6,app1,0,1,l_app1_web1,web1,50000000,1,5000,3
183.1,app3,0,1,l_app3_web3,web3,150000000,1,80000,1
183.7,web3,0,1,l_web3_app3,app3,20000000,1,1000,3
184.3,app4,0,1,l_app4_svc4,svc4,200000000,1,200,3
184.7,app3,0,1,l_app3_db4,db4,10000000,1,1000,3
185.1,app3,0,1,l_app3_db4,db4,5000000,1,1000,3
185.6,web4,0,1,l_web4_app0,app0,20000000,1,200,2
186.0,app1,0,1,l_app1_svc1,svc1,100000000,1,200,3
186.4,app1,0,1,l_app1_web2,web2,5000000,1,1000,3
186.8,web2,0,1,l_web2_app2,app2,200000000,1,50000,2
187.4,app2,0,1,l_app2_db2,db2,10000000,1,500,1
188.0,db1,0,1,l_db1_app2,app2,10000000,1,10000,2
188.4,app3,0,1,l_app3_web3,web3,75000000,1,200,2
188.8,app0,0,1,l_app0_svc0,svc0,20000000,1,50000,2
189.0,app2,0,1,l_app2_db3,db3,200000000,1,500,1
189.3,app2,0,1,l_app2_db2,db2,200000000,1,1000,1
189.6,db2,0,1,l_db2_app2,app2,10000000,1,20000,1
189.9,web0,0,1,l_web0_app0,app0,10000000,1,50000,2
190.1,app1,0,1,l_app1_web1,web1,5000000,1,20000,2
190.7,web3,0,1,l_web3_app3,app3,200000000,1,20000,2
191.2,svc0,0,1,l_svc0_app0,app0,5000000,1,2000,2
191.6,app4,0,1,l_app4_db4,db4,5000000,1,200,1
192.1,db3,0,1,l_db3_app3,app3,200000000,1,5000,1
192.7,db4,0,1,l_db4_app4,app4,150000000,1,200,1
193.1,app0,0,1,l_app0_web0,web0,50000000,1,1000,2
193.5,app1,0,1,l_app1_db1,db1,10000000,1,20000,2
194.1,app2,0,1,l_app2_db3,db3,10000000,1,50000,1
194.5,db0,0,1,l_db0_app0,app0,100000000,1,2000,2
194.7,web0,0,1,l_web0_app0,app0,10000000,1,20000,3
195.1,app2,0,1,l_app2_web3,web3,75000000,1,20000,2
195.4,app3,0,1,l_app3_db4,db4,200000000,1,10000,3
195.7,db0,0,1,l_db0_app0,app0,150000000,1,200,3
196.0,web4,0,1,l_web4_app4,app4,20000000,1,20000,2
196.3,app3,0,1,l_app3_db3,db3,5000000,1,1000,3
196.8,svc0,0,1,l_svc0_app0,app0,50000000,1,10000,1
197.2,db0,0,1,l_db0_app1,app1,100000000,1,2000,3
197.7,app2,0,1,l_app2_web3,web3,50000000,1,1000,1
198.1,app4,0,1,l_app4_db4,db4,75000000,1,200,3
198.3,db4,0,1,l_db4_app0,app0,100000000,1,5000,1
198.9,app3,0,1,l_app3_web4,web4,75000000,1,5000,2
199.1,app1,0,1,l_app1_web2,web2,10000000,1,200,3
199.5,svc3,0,1,l_svc3_app3,app3,20000000,1,10000,1
200.1,app2,0,1,l_app2_web3,web3,50000000,1,200,1
200.5,app1,0,1,l_app1_web2,web2,200000000,1,10000,3
201.1,app4,0,1,l_app4_web0,web0,200000000,1,2000,3
201.7,web2,0,1,l_web2_app3,app3,200000000,1,2000,1
202.2,app3,0,1,l_app3_svc3,svc3,10000000,1,50000,3
202.4,db1,0,1,l_db1_app2,app2,50000000,1,5000,3
202.9,web0,0,1,l_web0_app0,app0,200000000,1,80000,1
203.2,web3,0,1,l_web3_app4,app4,75000000,1,1000,3
203.5,app4,0,1,l_app4_web0,web0,200000000,1,50000,2
203.8,app3,0,1,l_app3_web3,web3,200000000,1,5000,3
